PLAYER,Conference,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Marco Belinelli,Eastern,24,10.5,3.6,8.3,42.9,1.4,3.8,36,2,2.3,89.3,0.2,2.2,2.4,2,0.9,0.6,0.1,1.2,1,0,0.6
Marcus Georges-Hunt,Eastern,9.5,2.8,0.4,1.4,28.6,0.2,0.4,50,1.8,2,90,0.2,1.6,1.8,0.6,0.4,0.2,0,1,0,0,-5.2
Marcus Morris,Eastern,32.5,14,5.3,12.7,41.8,1.5,4.5,33.1,1.8,2.3,78.4,1,3.7,4.6,2,1.1,0.7,0.3,2.1,5,0,-1.3
Marcus Smart,Eastern,30.4,10.6,3.4,9.5,35.9,1.2,4.2,28.3,2.6,3.2,81.2,1,2.9,3.9,4.6,2,1.6,0.4,2.4,2,0,1.6
Marcus Thornton,Eastern,17.4,6.6,2.5,6.4,40,0.8,2.4,35,0.7,0.8,85.2,0.7,1.6,2.3,1.2,0.8,0.6,0.1,1.5,0,0,-4.5
Mario Hezonja,Eastern,14.8,4.9,1.8,5.1,35.5,0.7,2.2,29.9,0.6,0.8,80,0.3,1.9,2.2,1,0.9,0.5,0.2,1.1,0,0,-4.4
Markieff Morris,Eastern,31.2,14,5.3,11.7,45.7,0.9,2.6,36.2,2.4,2.8,83.7,1.4,5.1,6.5,1.7,1.7,1.1,0.6,3.3,9,0,2.4
Marquese Chriss,Western,21.3,9.2,3.5,7.7,44.9,0.9,2.7,32.1,1.4,2.2,62.4,1.2,3.1,4.2,0.7,1.3,0.8,0.9,3.2,3,0,-4.6
Marreese Speights,Western,15.7,8.7,3,6.7,44.5,1.3,3.4,37.2,1.5,1.7,87.6,1.1,3.5,4.5,0.8,0.8,0.3,0.5,2.8,4,0,-0.5
Marshall Plumlee,Eastern,8.1,1.9,0.8,1.4,53.3,0,0,0,0.4,0.9,42.1,1.1,1.3,2.4,0.5,0.6,0.2,0.2,1.1,1,0,-0.1
Marvin Williams,Eastern,30.2,11.2,3.9,9.3,42.2,1.6,4.7,35,1.7,2,87.3,1.2,5.4,6.6,1.4,0.8,0.8,0.7,1.8,11,0,-0.4
Mason Plumlee,Western,26.5,10.4,4.1,7.7,53.6,0,0.1,0,2.1,3.7,58,2.1,5.4,7.5,3.5,1.7,0.9,1.1,2.8,19,0,0
Matt Barnes,Western,24,7.1,2.5,6.4,39.1,1.2,3.6,33.1,0.9,1.2,78.7,0.9,4.2,5.2,2.6,1.4,0.6,0.4,2.5,4,0,-0.9
Matthew Dellavedova,Eastern,26.1,7.6,2.7,7,39,1,2.8,36.7,1.1,1.3,85.4,0.3,1.6,1.9,4.7,1.8,0.7,0,2,0,0,-1
Maurice Harkless,Western,28.9,10,4.1,8.1,50.3,0.9,2.5,35.1,1,1.6,62.1,1.6,2.8,4.4,1.1,1.1,1.1,0.9,2.8,2,0,0.6
Maurice Ndour,Eastern,10.4,3.1,1.2,2.7,45.3,0,0.2,14.3,0.6,0.8,73.1,0.7,1.3,2,0.3,0.4,0.5,0.3,0.9,1,0,-0.1
Metta World Peace,Western,6.4,2.3,0.8,2.7,27.9,0.4,1.5,23.7,0.4,0.6,62.5,0.2,0.6,0.8,0.4,0.3,0.4,0.1,0.7,0,0,-2.3
Meyers Leonard,Western,16.5,5.4,2,5.1,38.6,1,2.9,34.7,0.5,0.5,87.5,0.4,2.8,3.2,1,0.5,0.2,0.4,2.3,1,0,-0.4
Michael Beasley,Eastern,16.7,9.4,3.9,7.3,53.2,0.3,0.8,41.9,1.4,1.9,74.3,0.7,2.7,3.4,0.9,1.2,0.5,0.5,1.6,1,0,-0.7
Michael Carter-Williams,Eastern,18.8,6.6,2.5,6.8,36.6,0.3,1.4,23.4,1.3,1.7,75.3,0.5,2.9,3.4,2.5,1.5,0.8,0.5,2.3,0,0,-0.6
Michael Gbinije,Eastern,3.5,0.4,0.1,1.1,10,0,0.4,0,0.2,0.2,100,0.2,0.1,0.3,0.2,0,0,0,0.2,0,0,-0.3
Michael Kidd-Gilchrist,Eastern,29,9.2,3.6,7.6,47.7,0,0.1,11.1,1.9,2.4,78.4,1.9,5,7,1.4,0.7,1,1,2.3,11,0,-0.1
Mike Conley,Western,33.2,20.5,6.7,14.6,46,2.5,6.1,40.8,4.6,5.3,85.9,0.4,3,3.5,6.3,2.3,1.3,0.3,1.8,8,0,2.7
Mike Dunleavy,Eastern,15.9,5.2,1.8,4.2,42.3,1,2.5,39.6,0.7,0.8,80,0.3,1.8,2.2,0.9,0.5,0.3,0.1,1.3,0,0,-0.7
Mike Miller,Western,7.5,1.4,0.5,1.2,39.1,0.4,1,40,0.1,0.1,100,0.1,1.8,1.9,1.1,0.7,0.1,0,0.5,0,0,-0.3
Mike Muscala,Eastern,17.7,6.2,2.4,4.8,50.4,0.7,1.6,41.8,0.7,0.9,76.6,1.1,2.3,3.4,1.4,0.8,0.4,0.6,1.4,0,0,-1.1
Mike Scott,Eastern,10.8,2.5,0.9,3.3,28.8,0.2,1.5,14.8,0.4,0.4,87.5,0.6,1.5,2.1,0.9,0.4,0.2,0.2,0.7,0,0,-2.3
Mike Tobey,Eastern,12.6,1,0.5,2,25,0,0,0,0,0,0,1,0.5,1.5,0.5,0.5,0,0,1,0,0,-8.5
Miles Plumlee,Eastern,10.8,2.5,1,2,47.8,0,0,0,0.6,0.9,64.1,0.8,1.3,2.1,0.5,0.7,0.4,0.3,1.6,0,0,-1.5
Mindaugas Kuzminskas,Eastern,14.9,6.3,2.3,5.4,42.8,0.8,2.5,32.1,0.8,1,80.9,0.7,1.2,1.9,1,0.8,0.4,0.2,1.2,0,0,0
Mirza Teletovic,Eastern,16.2,6.4,2.2,6,37.3,1.5,4.4,34.1,0.5,0.6,77.8,0.2,2.2,2.3,0.7,0.5,0.2,0.2,1.6,0,0,1.1
Monta Ellis,Eastern,27,8.5,3.3,7.5,44.3,0.6,1.8,31.9,1.3,1.7,72.7,0.3,2.5,2.8,3.2,1.8,1.1,0.4,2,0,0,-1
Montrezl Harrell,Western,18.3,9.1,3.9,5.9,65.2,0,0.1,14.3,1.3,2.1,62.8,1.4,2.4,3.8,1.1,0.8,0.3,0.7,2.2,3,0,1.8
Myles Turner,Eastern,31.4,14.5,5.5,10.7,51.1,0.5,1.4,34.8,3,3.7,80.9,1.7,5.6,7.3,1.3,1.3,0.9,2.1,3.2,15,0,1.8
Nemanja Bjelica,Western,18.3,6.2,2.3,5.5,42.4,0.9,2.7,31.6,0.7,0.9,73.8,0.9,2.9,3.8,1.2,0.9,0.6,0.3,2.4,3,0,-0.2
Nene,Western,17.9,9.1,3.7,5.9,61.7,0,0.1,33.3,1.7,2.9,58.9,1.4,2.8,4.2,1,1.1,0.8,0.6,2.4,0,0,2.9
Nerlens Noel,Western,20.5,8.7,3.6,6.1,59.5,0,0,0,1.5,2.2,69.4,1.8,3.9,5.8,1,1,1.3,1,2.5,3,0,-1.6
Nick Collison,Western,6.4,1.7,0.7,1.2,60.9,0,0.1,0,0.3,0.4,62.5,0.5,1.1,1.6,0.6,0.2,0.1,0.1,0.9,0,0,-2
Nick Young,Western,25.9,13.2,4.5,10.6,43,2.8,7,40.4,1.3,1.5,85.6,0.4,1.9,2.3,1,0.6,0.6,0.2,2.3,0,0,-3.5
Nicolas Batum,Eastern,34,15.1,5.1,12.7,40.3,1.8,5.3,33.3,3.2,3.7,85.6,0.6,5.6,6.2,5.9,2.5,1.1,0.4,1.4,15,1,0.9
Nicolas Brussino,Western,9.7,2.8,1,2.6,36.9,0.5,1.8,30.5,0.3,0.4,77.3,0.5,1.3,1.8,0.9,0.5,0.3,0.1,0.8,0,0,-2
Nicolas Laprovittola,Western,9.7,3.3,1.1,2.6,42.6,0.6,1.5,37,0.5,0.5,100,0.1,0.5,0.6,1.6,1.1,0.2,0.1,1.1,0,0,-2.4
Nik Stauskas,Eastern,27.3,9.5,3.1,7.9,39.6,1.7,4.5,36.8,1.5,1.9,81.3,0.3,2.6,2.8,2.4,1.6,0.6,0.4,1.8,0,0,-2.4
Nikola Jokic,Western,27.9,16.7,6.8,11.7,57.8,0.6,1.9,32.4,2.6,3.1,82.5,2.9,6.9,9.8,4.9,2.3,0.8,0.8,2.9,39,6,4.1
Nikola Mirotic,Eastern,24,10.6,3.7,8.9,41.3,1.8,5.4,34.2,1.4,1.8,77.3,0.9,4.6,5.5,1.1,1.1,0.8,0.8,1.8,8,0,2.8
Nikola Vucevic,Eastern,28.8,14.6,6.4,13.7,46.8,0.3,1,30.7,1.4,2.1,66.9,2.3,8,10.4,2.8,1.6,1,1,2.4,38,0,-1.9
Noah Vonleh,Western,17.1,4.4,1.8,3.6,48.1,0.1,0.3,35,0.8,1.3,63.8,1.8,3.5,5.2,0.4,0.9,0.4,0.4,2.1,4,0,-1.2
Norman Powell,Eastern,18,8.4,3,6.7,44.9,0.7,2.3,32.4,1.7,2.1,79.2,0.3,1.9,2.2,1.1,0.9,0.7,0.2,1.7,0,0,1.1
Norris Cole,Western,9.6,3.3,1.2,4,30.8,0.2,1,23.1,0.6,0.8,80,0,0.8,0.8,1.1,0.5,0.6,0,1.4,0,0,-1.2
Okaro White,Eastern,13.5,2.8,0.9,2.5,37.9,0.3,1,35.3,0.6,0.6,90.9,0.7,1.6,2.3,0.6,0.5,0.3,0.3,1.5,0,0,1.9
Omer Asik,Western,15.6,2.7,1,2.1,47.7,0,0,0,0.7,1.3,59,1.5,3.7,5.3,0.5,0.5,0.2,0.3,1.6,1,0,-1.9
Omri Casspi,Western,17.8,5.2,2.1,4.6,47,0.4,1.2,34.9,0.5,0.8,58.6,0.8,2.4,3.1,1,0.8,0.6,0.1,1.4,0,0,-2.9
Otto Porter Jr.,Eastern,32.6,13.4,5.2,10,51.6,1.9,4.3,43.4,1.2,1.5,83.2,1.5,5,6.4,1.5,0.6,1.5,0.5,2.4,12,0,2.4
PJ Tucker,Eastern,27.6,6.7,2.5,6,41.3,0.9,2.4,35.7,0.9,1.1,77.4,1.4,4.4,5.8,1.2,0.8,1.4,0.2,2.4,3,0,-0.9
Pascal Siakam,Eastern,15.6,4.2,1.9,3.7,50.2,0,0.1,14.3,0.4,0.6,68.8,1.2,2.2,3.4,0.3,0.6,0.5,0.8,2,0,0,-0.9
Pat Connaughton,Western,8.1,2.5,0.9,1.8,51.4,0.4,0.8,51.5,0.2,0.2,77.8,0.3,1.1,1.3,0.7,0.4,0.2,0.1,0.6,0,0,-0.4
Patricio Garino,Eastern,8.6,0,0,1.4,0,0,1,0,0,0,0,0.2,1.2,1.4,0,0.6,0,0,0.8,0,0,-2.8
Patrick Beverley,Western,30.7,9.5,3.4,8.1,42,1.6,4.3,38.2,1.1,1.4,76.8,1.4,4.4,5.9,4.2,1.5,1.5,0.4,3.3,6,0,5.3
Patrick McCaw,Western,15.1,4,1.5,3.5,43.3,0.6,1.7,33.3,0.4,0.5,78.4,0.3,1.1,1.4,1.1,0.5,0.5,0.2,0.9,0,0,-0.6
Patrick Patterson,Eastern,24.6,6.8,2.4,5.9,40.1,1.4,3.9,37.2,0.7,0.9,71.7,1,3.6,4.5,1.2,0.6,0.6,0.4,1.8,1,0,5.4
Patty Mills,Western,21.9,9.5,3.4,7.8,44,1.8,4.4,41.4,0.8,1,82.5,0.3,1.5,1.8,3.5,1.3,0.8,0,1.4,1,0,5.1
Pau Gasol,Western,25.4,12.4,4.7,9.4,50.2,0.9,1.6,53.8,2,2.9,70.7,1.7,6.2,7.8,2.3,1.3,0.4,1.1,1.7,11,0,3.5
Paul George,Eastern,35.9,23.7,8.3,18,46.1,2.6,6.6,39.3,4.5,5,89.8,0.8,5.8,6.6,3.3,2.9,1.6,0.4,2.7,11,0,2.3
Paul Millsap,Eastern,34,18.1,6.2,14.1,44.2,1.1,3.5,31.1,4.5,5.9,76.8,1.6,6.1,7.7,3.7,2.3,1.3,0.9,2.7,19,0,1.9
Paul Pierce,Western,11.1,3.2,1.1,2.8,40,0.6,1.7,34.9,0.4,0.5,76.9,0,1.9,1.9,0.4,0.6,0.2,0.2,1.6,0,0,1.1
Paul Zipser,Eastern,19.2,5.5,2,5,39.8,0.8,2.3,33.3,0.7,0.9,77.5,0.3,2.5,2.8,0.8,0.9,0.3,0.4,1.8,0,0,0.3
Pierre Jackson,Western,10.6,4.4,1.6,4.9,33.3,0.4,1.4,27.3,0.8,0.9,85.7,0.1,1,1.1,2.4,0.4,0.3,0,0.6,0,0,6.9
Quincy Acy,Eastern,14.7,5.8,1.8,4.5,41.2,1,2.4,41.1,1.2,1.6,75,0.5,2.5,3,0.5,0.6,0.4,0.4,1.8,0,0,-1
Quinn Cook,Western,13.4,5.6,2.4,4.7,50,0.8,1.9,42.3,0.1,0.4,40,0.1,0.4,0.5,1.9,0.9,0.3,0,0.9,0,0,-2.9
RJ Hunter,Eastern,3.1,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,-3.3
Rajon Rondo,Eastern,26.7,7.8,3.3,8.1,40.8,0.7,1.9,37.6,0.4,0.7,60,1.1,4.1,5.1,6.7,2.4,1.4,0.2,2.1,6,1,-0.9
Rakeem Christmas,Eastern,7.6,2,0.7,1.5,44.2,0,0,0,0.7,1,72.4,0.9,1,1.9,0.1,0.3,0.1,0.2,1.3,0,0,-1.2
Ramon Sessions,Eastern,16.2,6.2,2,5.3,38,0.4,1.2,33.9,1.8,2.4,77.1,0.2,1.2,1.5,2.6,0.9,0.5,0.1,0.9,0,0,-1.6
Randy Foye,Eastern,18.6,5.2,1.7,4.7,36.3,1,2.9,33,0.8,0.9,85.7,0.1,2.1,2.2,2,1.2,0.5,0.1,1.4,0,0,-3
Rashad Vaughn,Eastern,11.2,3.5,1.4,3.8,36.5,0.6,2,32.1,0,0.1,40,0.1,1.1,1.2,0.6,0.3,0.5,0.2,0.8,0,0,-1.8
Raul Neto,Western,8.6,2.5,1,2.3,45.1,0.3,0.8,32.3,0.2,0.2,88.9,0.1,0.7,0.8,0.9,0.4,0.5,0.1,1.2,0,0,2.1
Raymond Felton,Western,21.2,6.7,2.8,6.4,43,0.6,1.8,31.9,0.6,0.8,78.1,0.4,2.3,2.7,2.4,1,0.8,0.3,1.6,0,0,-2
Reggie Bullock,Eastern,15.1,4.5,1.7,4.1,42.2,0.9,2.4,38.4,0.2,0.2,71.4,0.4,1.6,2.1,0.9,0.3,0.6,0.1,0.7,0,0,1.8
Reggie Jackson,Eastern,27.4,14.5,5.5,13,41.9,1.3,3.5,35.9,2.3,2.6,86.8,0.4,1.8,2.2,5.2,2.2,0.7,0.1,2.5,4,0,-4.3
Reggie Williams,Western,13.2,4.5,1.3,3.8,34.8,0.8,1.8,45.5,1,1.2,85.7,0.3,0.7,1,0.7,0,0.5,0,0.3,0,0,-4
Richard Jefferson,Eastern,20.4,5.7,1.9,4.3,44.6,0.8,2.4,33.3,1,1.4,74.1,0.4,2.2,2.6,1,0.7,0.3,0.1,1.9,1,0,1.7
Richaun Holmes,Eastern,20.9,9.8,4,7.2,55.8,0.5,1.4,35.1,1.3,1.8,69.9,1.6,3.8,5.5,1,1,0.7,1,2.4,5,0,-4
Ricky Rubio,Western,32.9,11.1,3.5,8.7,40.2,0.8,2.6,30.6,3.4,3.8,89.1,0.9,3.2,4.1,9.1,2.6,1.7,0.1,2.7,25,1,-0.1
Robert Covington,Eastern,31.6,12.9,4.4,10.9,39.9,2,6.1,33.3,2.1,2.6,82.2,1.4,5.1,6.5,1.5,2,1.9,1,3,12,0,-2.3
Robin Lopez,Eastern,28,10.4,4.7,9.6,49.3,0,0,0,0.9,1.3,72.1,3,3.4,6.4,1,1.1,0.2,1.4,1.9,8,0,0.9
Rodney Hood,Western,27,12.7,4.6,11.3,40.8,1.9,5.2,37.1,1.5,1.9,78.3,0.3,3.2,3.4,1.6,1.1,0.6,0.2,2.2,0,0,1.8
Rodney McGruder,Eastern,25.2,6.4,2.4,5.9,41.3,0.9,2.8,33.2,0.6,0.9,62,1.2,2.1,3.3,1.6,0.7,0.6,0.2,1.8,0,0,0.1
Rodney Stuckey,Eastern,17.9,7.2,2.3,6.3,37.3,0.5,1.5,31.7,2.1,2.7,74.8,0.2,2,2.2,2.2,1.4,0.4,0,1.1,0,0,-0.9
Ron Baker,Eastern,16.5,4.1,1.6,4.2,37.8,0.4,1.7,26.7,0.5,0.8,65.1,0.2,1.7,1.9,2.1,1.1,0.7,0.2,1.4,0,0,-1.1
Rondae Hollis-Jefferson,Eastern,22.6,8.7,3,6.9,43.4,0.2,0.9,22.4,2.4,3.2,75.1,1.2,4.6,5.8,2,1.5,1.1,0.6,2.3,8,0,-3.4
Ronnie Price,Western,9.6,1,0.3,1.7,16.7,0.2,1.2,17.6,0.2,0.3,75,0.2,0.6,0.8,1.3,0.2,0.8,0.1,1,0,0,-3.1
Roy Hibbert,Western,14.2,4.6,1.7,3.1,54.4,0,0,0,1.3,1.6,81.3,1.1,2,3.2,0.4,0.7,0.2,1,2.1,1,0,-0.5
Rudy Gay,Western,33.8,18.7,6.7,14.7,45.5,1.4,3.8,37.2,3.9,4.6,85.5,1.2,5.2,6.3,2.8,2.5,1.5,0.9,2.6,4,0,2.3
Rudy Gobert,Western,33.9,14,5.1,7.7,66.1,0,0,0,3.8,5.9,65.3,3.9,8.9,12.8,1.2,1.8,0.6,2.6,3,58,0,5.4
Russell Westbrook,Western,34.6,31.6,10.2,24,42.5,2.5,7.2,34.3,8.8,10.4,84.5,1.7,9,10.7,10.4,5.4,1.6,0.4,2.3,62,42,3.1
Ryan Anderson,Western,29.4,13.6,4.5,10.7,41.8,2.8,7,40.3,1.8,2.1,86,1.6,3,4.6,0.9,0.8,0.4,0.2,2,2,0,5.7
Ryan Kelly,Eastern,6.9,1.6,0.5,1.8,28.6,0.3,0.6,40,0.3,0.4,83.3,0.1,1.1,1.1,0.5,0.3,0.3,0.3,0.3,0,0,0.3
Salah Mejri,Western,12.4,2.9,1.2,1.9,64.2,0,0,33.3,0.5,0.8,59,1.3,2.9,4.2,0.2,0.5,0.4,0.8,2.1,1,0,-0.2
Sam Dekker,Western,18.4,6.5,2.6,5.6,47.3,0.8,2.4,32.1,0.5,0.9,55.9,1.2,2.5,3.7,1,0.5,0.5,0.3,1.1,0,0,0.9
Sasha Vujacic,Eastern,9.7,3,1,3.2,30.9,0.5,1.8,31.1,0.4,0.6,70.8,0.3,1.1,1.4,1.2,0.4,0.3,0,0.9,0,0,-0.2
Sean Kilpatrick,Eastern,25.1,13.1,4.4,10.5,41.5,1.5,4.4,34.1,2.9,3.5,84.3,0.3,3.7,4,2.2,1.9,0.6,0.1,1.7,4,0,-3.2
Semaj Christon,Western,15.2,2.9,1.2,3.5,34.5,0.2,1,19,0.3,0.5,54.8,0.3,1.1,1.4,2,0.7,0.4,0.1,1.2,0,0,-2.2
Serge Ibaka,Eastern,30.7,14.8,6,12.4,48,1.6,4,39.1,1.4,1.6,85.6,1.6,5.2,6.8,0.9,1.3,0.5,1.6,2.7,11,0,-1.8
Sergio Rodriguez,Eastern,22.3,7.8,3.1,7.9,39.2,1.4,3.7,36.5,0.3,0.4,66.7,0.3,2,2.3,5.1,1.9,0.7,0.1,1.4,1,0,-2
Seth Curry,Western,29,12.8,4.8,10,48.1,2,4.6,42.5,1.2,1.4,85,0.4,2.2,2.6,2.7,1.3,1.1,0.1,1.8,1,0,-0.5
Shabazz Muhammad,Western,19.4,9.9,3.7,7.7,48.2,0.6,1.9,33.8,1.9,2.4,77.4,1.1,1.7,2.8,0.4,0.7,0.3,0.1,1.1,1,0,-1
Shabazz Napier,Western,9.7,4.1,1.4,3.5,39.9,0.6,1.7,37,0.7,0.9,77.6,0.2,1,1.2,1.3,0.8,0.6,0,0.7,0,0,0.3
Shaun Livingston,Western,17.7,5.1,2.3,4.2,54.7,0,0,33.3,0.6,0.8,70,0.4,1.6,2,1.8,0.8,0.5,0.3,1.6,0,0,2
Shawn Long,Eastern,13,8.2,3.4,6.1,56,0.4,1.1,36.8,1.1,1.9,54.3,2.3,2.4,4.7,0.7,0.7,0.5,0.5,2.7,1,0,1.1
Sheldon McClellan,Eastern,9.6,3,1,2.5,40,0.2,1,23.3,0.8,0.9,85.2,0.1,1,1.1,0.5,0.2,0.3,0.1,0.6,0,0,-1.8
Shelvin Mack,Western,21.9,7.8,3.1,6.9,44.6,0.7,2.2,30.8,1,1.4,68.8,0.4,1.9,2.3,2.8,1.6,0.8,0.1,1.8,0,0,0.3
Skal Labissiere,Western,18.5,8.8,3.5,6.6,53.7,0.1,0.2,37.5,1.6,2.2,70.3,1.5,3.4,4.9,0.8,1.1,0.5,0.4,1.9,2,0,-1.2
Solomon Hill,Western,29.7,7,2.3,6,38.3,1.2,3.4,34.8,1.3,1.6,80.5,0.6,3.2,3.8,1.8,1,0.9,0.4,2.3,0,0,0
Spencer Dinwiddie,Eastern,22.6,7.3,2.3,5.1,44.4,0.6,1.7,37.6,2.1,2.7,79.2,0.5,2.3,2.8,3.1,1.1,0.7,0.4,2,0,0,-2.3
Spencer Hawes,Eastern,14.8,6.2,2.5,5.1,48.4,0.5,1.5,30.9,0.8,1,84.6,0.7,2.8,3.5,1.5,0.9,0.3,0.6,1.4,3,0,-3.2
Stanley Johnson,Eastern,17.8,4.4,1.7,4.7,35.3,0.6,2,29.2,0.5,0.7,67.9,0.5,2,2.5,1.4,0.9,0.7,0.3,1.6,0,0,0
Stephen Curry,Western,33.4,25.3,8.5,18.3,46.8,4.1,10,41.1,4.1,4.6,89.8,0.8,3.7,4.5,6.6,3,1.8,0.2,2.3,9,0,12.8
Stephen Zimmerman,Eastern,5.7,1.2,0.5,1.6,32.3,0,0,0,0.2,0.3,60,0.6,1.3,1.8,0.2,0.2,0.1,0.3,0.9,0,0,-2.2
Steve Novak,Eastern,2.7,0.6,0.3,0.9,28.6,0.1,0.8,16.7,0,0,0,0,0.4,0.4,0,0,0,0,0.1,0,0,0
Steven Adams,Western,29.9,11.3,4.7,8.2,57.1,0,0,0,2,3.2,61.1,3.5,4.2,7.7,1.1,1.8,1.1,1,2.4,16,0,2.4
T.J. McConnell,Eastern,26.3,6.9,2.9,6.3,46.1,0.1,0.7,20,0.9,1.1,81.1,0.5,2.6,3.1,6.6,2,1.7,0.1,1.7,5,0,-3.9
TJ Warren,Western,31,14.4,6.1,12.3,49.5,0.4,1.5,26.5,1.8,2.3,77.3,1.9,3.2,5.1,1.1,0.9,1.2,0.6,2.7,5,0,-4.3
Taj Gibson,Western,25.5,10.8,4.7,9.1,51.5,0,0.2,23.1,1.4,2,71.5,2,4.2,6.2,0.9,1.3,0.5,0.8,2.1,11,0,0
Tarik Black,Western,16.3,5.7,2.2,4.4,51,0,0,50,1.2,1.6,75.2,2.1,3,5.1,0.6,0.9,0.4,0.7,2.6,2,0,-0.7
Taurean Prince,Eastern,16.6,5.7,1.9,4.8,40,0.6,1.7,32.4,1.3,1.6,78.7,0.4,2.2,2.7,0.9,1,0.7,0.5,1.6,0,0,-0.5
Terrence Jones,Eastern,23.5,10.8,4.3,9.1,47,0.4,1.4,25.3,1.9,3.1,60.6,1.2,4.5,5.7,1.1,0.9,0.7,1,1.2,6,0,-1.1
Terrence Ross,Eastern,25.1,11,4.2,9.6,43.7,1.8,5,36.3,0.8,1,83.1,0.2,2.4,2.6,1.1,0.9,1.1,0.4,1.8,0,0,1.6
Terry Rozier,Eastern,17.1,5.5,2,5.6,36.7,0.8,2.4,31.8,0.7,0.9,77.3,0.5,2.5,3.1,1.8,0.6,0.6,0.1,0.9,1,0,-0.2
Thabo Sefolosha,Eastern,25.7,7.2,2.8,6.4,44.1,0.7,1.9,34.2,0.9,1.2,73.3,0.9,3.5,4.4,1.7,0.9,1.5,0.5,1.6,0,0,-1
Thaddeus Young,Eastern,30.2,11,4.9,9.3,52.7,0.6,1.6,38.1,0.6,1.2,52.3,1.8,4.3,6.1,1.6,1.3,1.5,0.4,1.8,7,0,0.9
Thomas Robinson,Western,11.7,5,2.2,4.1,53.6,0,0,0,0.6,1.4,47,1.8,2.9,4.6,0.6,1,0.5,0.2,1.6,1,0,-1.8
Thon Maker,Eastern,9.9,4,1.5,3.2,45.9,0.5,1.3,37.8,0.6,0.9,65.3,0.7,1.3,2,0.4,0.3,0.2,0.5,1.5,0,0,-0.5
Tiago Splitter,Eastern,9.5,4.9,1.8,3.9,45.2,0.3,0.8,33.3,1.1,1.4,81.8,1,1.8,2.8,0.5,0.8,0.1,0.1,1,0,0,-0.5
Tim Frazier,Western,23.5,7.1,2.5,6.2,40.3,0.6,2,31.3,1.5,2,76,0.5,2.1,2.7,5.2,1.6,0.9,0.1,2,7,1,-1.3
Tim Hardaway Jr.,Eastern,27.3,14.5,5.3,11.5,45.5,1.9,5.3,35.7,2.1,2.7,76.6,0.4,2.4,2.8,2.3,1.3,0.7,0.2,1.3,0,0,2
Tim Quarterman,Western,5,1.9,0.8,1.8,44.8,0.3,0.8,38.5,0,0.2,0,0.3,0.6,0.9,0.7,0.7,0.1,0.2,0.4,0,0,0.1
Timofey Mozgov,Western,20.4,7.4,3.1,6.1,51.5,0,0,0,1.2,1.4,80.8,1.9,3,4.9,0.8,1.3,0.3,0.6,2.5,1,0,-3.6
Timothe Luwawu-Cabarrot,Eastern,17.2,6.4,2.1,5.2,40.2,0.7,2.3,31.1,1.5,1.8,85.4,0.4,1.8,2.2,1.1,1.1,0.5,0.1,2.2,0,0,-0.9
Tobias Harris,Eastern,31.3,16.1,6.2,13,48.1,1.3,3.8,34.7,2.3,2.8,84.1,0.8,4.3,5.1,1.7,1.2,0.7,0.5,1.6,3,0,0
Tomas Satoransky,Eastern,12.6,2.7,1.1,2.6,41.5,0.2,0.6,24.3,0.4,0.6,69.7,0.4,1,1.5,1.6,0.7,0.5,0.1,1.1,1,0,0.2
Toney Douglas,Western,16.4,4.9,1.8,4.9,36.8,0.3,1.8,16.7,1,1.2,82.8,0.5,2,2.5,2.3,0.9,0.8,0.2,2.1,0,0,0.5
Tony Allen,Western,27,9.1,3.9,8.4,46.1,0.2,0.8,27.8,1.1,1.8,61.5,2.3,3.2,5.5,1.4,1.4,1.6,0.4,2.5,5,0,-0.1
Tony Parker,Western,25.2,10.1,4.2,9,46.6,0.4,1.1,33.3,1.3,1.9,72.6,0.1,1.7,1.8,4.5,1.4,0.5,0,1.5,0,0,2.8
Tony Snell,Eastern,29.2,8.5,3.1,6.8,45.5,1.8,4.4,40.6,0.6,0.7,81,0.3,2.8,3.1,1.2,0.7,0.7,0.2,1.6,1,0,-1.5
Treveon Graham,Eastern,7,2.1,0.7,1.5,47.5,0.3,0.6,60,0.4,0.6,66.7,0.2,0.6,0.8,0.2,0.1,0.2,0,0.7,0,0,-1.4
Trevor Ariza,Western,34.7,11.7,4.1,10,40.9,2.4,6.9,34.4,1.2,1.6,73.8,0.7,5.1,5.7,2.2,0.9,1.8,0.3,1.7,3,0,4.6
Trevor Booker,Eastern,24.7,10,4.3,8.3,51.6,0.4,1.1,32.1,1,1.5,67.3,2,6,8,1.9,1.8,1.1,0.4,2.1,16,0,-4.7
Trey Burke,Eastern,12.3,5,2,4.5,45.5,0.5,1.2,44.3,0.4,0.5,75.9,0.1,0.7,0.8,1.8,0.8,0.2,0.1,0.9,0,0,-2.8
Trey Lyles,Western,16.3,6.2,2.2,6.2,36.2,0.9,2.9,31.9,0.8,1.1,72.2,0.7,2.6,3.3,1,0.9,0.4,0.3,1.4,1,0,0.4
Tristan Thompson,Eastern,30,8.1,3.4,5.6,60,0,0,0,1.4,2.7,49.8,3.7,5.5,9.2,1,0.8,0.5,1.1,2.3,19,0,1.7
