PLAYER,Conference,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
CJ Miles,Eastern,23.4,10.7,3.7,8.5,43.4,2.2,5.4,41.3,1.1,1.2,90.3,0.4,2.6,3,0.6,0.5,0.6,0.3,2,0,0,0.9
CJ Wilcox,Eastern,4.9,1,0.4,1.4,25.8,0.1,0.7,20,0.1,0.1,100,0.2,0.4,0.5,0.5,0.3,0.1,0,0.4,0,0,-0.8
Cameron Payne,Eastern,14.9,5.2,2.1,6.2,33.2,0.9,2.8,31.4,0.2,0.3,62.5,0.1,1.5,1.5,1.8,0.9,0.5,0.1,1.7,0,0,-2.2
Caris LeVert,Eastern,21.7,8.2,3,6.7,45,1,3.2,32.1,1.2,1.6,72,0.4,2.9,3.3,1.9,1,0.9,0.1,1.6,0,0,-1.6
Carmelo Anthony,Eastern,34.3,22.4,8.1,18.8,43.3,2,5.7,35.9,4.1,4.9,83.3,0.8,5.1,5.9,2.9,2.1,0.8,0.5,2.7,7,0,-3
Chandler Parsons,Western,19.8,6.2,2.2,6.5,33.8,0.7,2.7,26.9,1,1.3,81.4,0.2,2.3,2.5,1.6,0.7,0.6,0.1,1.5,0,0,-1.4
Channing Frye,Eastern,18.9,9.1,3.2,7,45.8,1.9,4.5,40.9,0.9,1,85.1,0.5,3.4,3.9,0.6,0.7,0.4,0.5,1.9,2,0,0.8
Chasson Randle,Eastern,11.5,5.3,1.5,3.8,40.8,0.6,1.8,34,1.6,1.7,95.3,0.2,1,1.2,1.3,0.7,0.3,0.1,1.5,0,0,-0.4
Cheick Diallo,Western,11.7,5.1,2.1,4.5,47.4,0,0,0,0.9,1.2,71.4,1.4,2.9,4.3,0.2,0.4,0.2,0.4,1,3,0,-3.1
Chinanu Onuaku,Western,10.3,2.8,1,1.4,71.4,0,0,0,0.8,0.8,100,0.4,1.6,2,0.6,0.8,0.6,0.2,1.2,0,0,-9
Chris Andersen,Eastern,9.5,2.3,0.8,1.8,40.9,0,0.3,0,0.8,1.2,71.4,0.8,1.8,2.6,0.4,0.4,0.4,0.6,1.7,0,0,0.7
Chris McCullough,Eastern,5,2.3,1,2,50,0.1,0.4,14.3,0.2,0.3,60,0.6,0.6,1.2,0.1,0.2,0.1,0.1,0.4,0,0,3.1
Chris Paul,Western,31.5,18.1,6.1,12.9,47.6,2,5,41.1,3.8,4.3,89.2,0.7,4.3,5,9.2,2.4,2,0.1,2.4,24,1,9.5
Christian Wood,Eastern,8.2,2.7,0.9,1.8,52.2,0,0.4,0,0.8,1.2,73.3,1.1,1.2,2.2,0.2,0.5,0.2,0.5,0.8,0,0,1.5
Clint Capela,Western,23.9,12.6,5.6,8.7,64.3,0,0,0,1.4,2.7,53.1,2.7,5.4,8.1,1,1.3,0.5,1.2,2.8,15,0,3.3
Cody Zeller,Eastern,27.8,10.3,4.1,7.1,57.1,0,0,0,2.1,3.2,67.9,2.2,4.4,6.5,1.6,1,1,0.9,3,6,0,3.4
Cole Aldrich,Western,8.6,1.7,0.7,1.4,52.3,0,0,0,0.2,0.4,68.2,0.8,1.7,2.5,0.4,0.3,0.4,0.4,1.4,1,0,-0.5
